,Region,Density,GDP_capita
0,Blekinge,54.4,34104.675
1,Dalarna,10.3,37464.240000000005
2,Gotland,19.0,33595.65
3,Gävleborg,15.9,35428.14
4,Halland,61.5,35122.725000000006
5,Jämtland,2.7,35937.165
6,Jönköping,34.8,39805.755000000005
7,Kalmar,22.0,34308.285
8,Kronoberg,23.9,42147.270000000004
9,Norrbotten,2.6,42554.490000000005
10,Skåne,125.7,38584.095
11,Stockholm,364.9,63526.32000000001
12,Södermanland,49.0,32272.185
13,Uppsala,46.9,41638.245
14,Värmland,16.1,34919.115000000005
15,Västerbotten,5.0,37871.46
16,Västernorrland,11.4,38380.485
17,Västmanland,53.9,37769.655
18,Västra Götaland,72.5,45608.64
19,Örebro,35.8,38787.705
20,Östergötland,44.1,39093.12
